rep_number,frame_index,file_name,side,cadence_val,heel_whip_val (deg),foot_offset_val (deg),hip_drop_val (deg),shoulder_drop_val (deg),n_ankle_x,n_ankle_y,n_knee_x,n_knee_y,n_shoulder_y,n_shoulder_lean,n_elbow_spacing,n_hip_diff_y,n_shoulder_diff_y,n_whip_gap,cadence_score,heel_whip_score,foot_offset_score,hip_drop_score,shoulder_drop_score
1,43,./back_view_dataset_videos/1.mov,Right,0,5.1,7.4,13.2,10.8,-0.0213,1.4388,0.0161,0.7092,-0.9669,0.1938,0.273,0.0398,0.0657,-0.0373,0,3,2,0,1
2,55,./back_view_dataset_videos/1.mov,Left,141.5,6.3,6.8,-4.6,5.2,-0.0334,1.4548,-0.0743,0.7046,-1.0158,-0.1759,0.2223,-0.0145,0.0315,0.0409,0,3,2,3,3
3,85,./back_view_dataset_videos/1.mov,Right,99.1,8.4,11.3,12.9,9.1,-0.0249,1.4461,0.0155,0.7246,-0.9713,0.2032,0.2838,0.0407,0.0568,-0.0405,0,2,1,0,2
4,97,./back_view_dataset_videos/1.mov,Left,113.2,8.1,9.8,-10.9,2.9,-0.0165,1.4418,-0.0591,0.6843,-1.0079,-0.1807,0.2635,-0.033,0.0161,0.0425,0,2,1,0,3
5,107,./back_view_dataset_videos/1.mov,Right,127.4,5.3,11.3,6.0,10.1,-0.0127,1.4329,0.0234,0.6812,-0.9691,0.1978,0.2555,0.0187,0.0612,-0.0361,0,3,1,2,1
6,118,./back_view_dataset_videos/1.mov,Left,132.8,5.5,9.8,-8.6,6.3,-0.0347,1.4877,-0.0776,0.7016,-1.02,-0.1711,0.2558,-0.0283,0.0401,0.0429,0,3,1,1,3
7,127,./back_view_dataset_videos/1.mov,Right,142.1,5.6,11.3,13.8,14.8,-0.0251,1.4474,0.0247,0.7178,-0.954,0.2011,0.2817,0.0428,0.0913,-0.0498,0,3,1,0,1
8,137,./back_view_dataset_videos/1.mov,Left,146.1,5.6,9.8,-5.6,5.3,-0.036,1.3954,-0.0663,0.6827,-1.0155,-0.1691,0.2676,-0.0166,0.031,0.0303,0,3,1,2,3
9,169,./back_view_dataset_videos/1.mov,Right,134.4,8.7,11.9,16.3,14.2,-0.0273,1.4133,0.0279,0.7059,-0.9542,0.2136,0.2662,0.0533,0.0903,-0.0552,0,2,1,0,1
10,181,./back_view_dataset_videos/1.mov,Left,134.4,6.6,9.8,10.9,6.7,-0.0322,1.349,-0.0804,0.6476,-1.0196,-0.1656,0.2405,0.0327,0.0392,0.0482,0,3,1,0,3
