rep_number,frame_index,file_name,side,cadence_value_spm,gct_value_ms,hip_drop_max_deg,shoulder_drop_max_deg,foot_offset_mean_rel,arm_inward_mean_deg,fist_height_mean_rel,cadence_score,gct_score,hip_drop_score,shoulder_drop_score,foot_offset_score,arm_inward_score,fist_height_score,n_ankle_x,n_ankle_y,n_knee_x,n_knee_y,n_knee_to_hip_x,n_ankle_to_hip_x,n_shoulder_x,n_elbow_x,n_wrist_x
1,18,./Videos/tr1.mp4,Right,0.0,166,8.69,7.59,-0.2169,1.05,-0.7646,1,3,1,1,1,3,3,-0.0191,1.2657,-0.0555,0.7111,0.0494,0.0858,-0.2079,-0.2854,-0.228
2,28,./Videos/tr1.mp4,Left,180.43,166,7.78,6.59,0.2107,5.8,-0.8817,3,3,1,2,1,3,3,0.0325,1.3734,0.0701,0.7703,-0.0386,-0.0762,0.2292,0.3197,0.2124
3,40,./Videos/tr1.mp4,Right,165.39,166,7.16,9.27,-0.2267,2.37,-0.6942,1,3,1,1,1,3,3,-0.0289,1.2795,-0.0588,0.6987,0.0449,0.0749,-0.1959,-0.2675,-0.2283
4,49,./Videos/tr1.mp4,Left,177.09,166,6.23,8.72,0.2104,3.91,-0.9249,3,3,2,1,1,3,3,0.0396,1.3683,0.0671,0.7404,-0.0394,-0.067,0.2178,0.3093,0.2433
5,60,./Videos/tr1.mp4,Right,173.82,166,7.91,4.13,-0.151,3.59,-0.7962,2,3,1,3,2,3,3,-0.0166,1.3372,-0.0454,0.7837,0.0544,0.0832,-0.2021,-0.2748,-0.2497
6,72,./Videos/tr1.mp4,Left,169.13,166,7.49,5.32,0.2254,4.09,-0.8466,2,3,1,2,1,3,3,0.0477,1.2743,0.0755,0.737,-0.0305,-0.0584,0.2129,0.2797,0.2284
7,82,./Videos/tr1.mp4,Right,169.13,166,10.15,6.73,-0.1987,2.91,-0.7724,2,3,0,2,2,3,3,-0.0253,1.3447,-0.0505,0.7769,0.0521,0.0774,-0.1964,-0.2521,-0.2323
8,94,./Videos/tr1.mp4,Left,169.13,166,7.09,4.75,0.1598,4.49,-0.8643,2,3,1,3,2,3,3,0.0337,1.2342,0.0645,0.6831,-0.0403,-0.071,0.2179,0.3019,0.1861
9,104,./Videos/tr1.mp4,Right,165.12,166,9.34,5.88,-0.1834,2.77,-0.8033,1,3,1,2,2,3,3,-0.0133,1.3959,-0.0409,0.7945,0.0658,0.0934,-0.2112,-0.2396,-0.1776
10,18,./Videos/tr1.mp4,Right,0.0,166,8.69,7.59,-0.2169,1.05,-0.7646,1,3,1,1,1,3,3,-0.0191,1.2657,-0.0555,0.7111,0.0494,0.0858,-0.2079,-0.2854,-0.228
11,28,./Videos/tr1.mp4,Left,180.43,166,7.78,6.59,0.2107,5.8,-0.8817,3,3,1,2,1,3,3,0.0325,1.3734,0.0701,0.7703,-0.0386,-0.0762,0.2292,0.3197,0.2124
12,15,./Videos_front_view/Lovro 4_30 front.MOV,Right,0.0,83,89.53,88.37,132.2746,84.41,-21.3215,1,3,0,0,0,0,3,22.2692,0.4789,12.0154,5.1888,12.0713,22.325,-18.2484,-10.9044,-4.8129
13,15,./Videos_front_view/Lovro 4_30 front.mov,Right,0.0,83,89.53,88.37,132.2746,84.41,-21.3215,1,3,0,0,0,0,3,22.2692,0.4789,12.0154,5.1888,12.0713,22.325,-18.2484,-10.9044,-4.8129
14,18,./Videos/tr1.mp4,Right,0.0,166,8.69,7.59,-0.2169,1.05,-0.7646,1,3,1,1,1,3,3,-0.0191,1.2657,-0.0555,0.7111,0.0494,0.0858,-0.2079,-0.2854,-0.228
15,28,./Videos/tr1.mp4,Left,180.43,166,7.78,6.59,0.2107,5.8,-0.8817,3,3,1,2,1,3,3,0.0325,1.3734,0.0701,0.7703,-0.0386,-0.0762,0.2292,0.3197,0.2124
16,40,./Videos/tr1.mp4,Right,165.39,166,7.16,9.27,-0.2267,2.37,-0.6942,1,3,1,1,1,3,3,-0.0289,1.2795,-0.0588,0.6987,0.0449,0.0749,-0.1959,-0.2675,-0.2283
17,49,./Videos/tr1.mp4,Left,177.09,166,6.23,8.72,0.2104,3.91,-0.9249,3,3,2,1,1,3,3,0.0396,1.3683,0.0671,0.7404,-0.0394,-0.067,0.2178,0.3093,0.2433
18,60,./Videos/tr1.mp4,Right,173.82,166,7.91,4.13,-0.151,3.59,-0.7962,2,3,1,3,2,3,3,-0.0166,1.3372,-0.0454,0.7837,0.0544,0.0832,-0.2021,-0.2748,-0.2497
19,72,./Videos/tr1.mp4,Left,169.13,166,7.49,5.32,0.2254,4.09,-0.8466,2,3,1,2,1,3,3,0.0477,1.2743,0.0755,0.737,-0.0305,-0.0584,0.2129,0.2797,0.2284
20,82,./Videos/tr1.mp4,Right,169.13,166,10.15,6.73,-0.1987,2.91,-0.7724,2,3,0,2,2,3,3,-0.0253,1.3447,-0.0505,0.7769,0.0521,0.0774,-0.1964,-0.2521,-0.2323
21,94,./Videos/tr1.mp4,Left,169.13,166,7.09,4.75,0.1598,4.49,-0.8643,2,3,1,3,2,3,3,0.0337,1.2342,0.0645,0.6831,-0.0403,-0.071,0.2179,0.3019,0.1861
22,104,./Videos/tr1.mp4,Right,165.12,166,9.34,5.88,-0.1834,2.77,-0.8033,1,3,1,2,2,3,3,-0.0133,1.3959,-0.0409,0.7945,0.0658,0.0934,-0.2112,-0.2396,-0.1776
