rep_number,frame_index,file_name,side,cadence_value (spm),gct_value (ms),vert_osc_value (%),knee_strike_angle (deg),knee_push_angle (deg),elbow_angle_val (deg),leg_split_val (deg),trunk_lean_value (deg),n_ankle_x,n_ankle_y,n_knee_x,n_knee_y,n_foot_stretch,n_heel_toe_slope,n_knee_elevation,n_shoulder_lean,n_elbow_x,cadence_score,gct_score,vert_osc_score,knee_strike_score,knee_push_score,elbow_angle_score,leg_split_score,trunk_lean_score
1,24,./side_view_dataset_videos/1.mov,Left,0,387,26.83,165,177,138,44,172,-1.2256,0.9226,-0.045,0.5657,-1.3189,-0.0655,0.5657,0.2671,0.2002,0,0,0,2,3,0,0,3
2,47,./side_view_dataset_videos/1.mov,Right,154.7,387,31.6,179,179,98,41,170,-1.5065,1.1847,-0.4647,0.6394,-1.4299,-0.076,0.6394,0.0935,-0.1376,0,0,0,0,3,3,0,3
3,70,./side_view_dataset_videos/1.mov,Left,154.7,365,26.52,176,176,118,44,174,0.2851,1.179,0.1108,0.5683,0.2121,-0.0297,0.5683,0.2167,-0.0479,0,0,0,0,3,1,0,3
4,89,./side_view_dataset_videos/1.mov,Right,165.55,400,29.05,171,173,96,67,159,-1.1519,1.184,-0.4568,0.6479,-1.0706,-0.0609,0.6479,0.2872,0.0673,1,0,0,1,3,3,3,2
5,119,./side_view_dataset_videos/1.mov,Left,153.81,370,24.33,172,172,121,37,179,-1.1891,0.6357,0.2238,0.4351,-1.2685,-0.0775,0.4351,0.2446,0.0116,0,0,0,1,3,0,0,3
6,134,./side_view_dataset_videos/1.mov,Right,170.49,364,25.84,174,174,93,75,167,-1.2918,1.1294,-0.4704,0.5996,-1.2796,-0.0621,0.5996,0.2128,-0.0328,2,0,0,1,3,3,2,3
7,155,./side_view_dataset_videos/1.mov,Left,173.44,367,22.26,172,176,117,46,178,-0.3397,1.29,0.116,0.6453,-0.4505,-0.0294,0.6453,0.3229,0.2102,2,0,0,1,3,1,0,3
8,179,./side_view_dataset_videos/1.mov,Right,172.15,401,27.22,171,171,82,68,163,-1.3483,1.1022,-0.3787,0.611,-1.2897,-0.07,0.611,0.2436,-0.0444,2,0,0,1,3,3,3,3
9,208,./side_view_dataset_videos/1.mov,Left,159.23,350,25.91,171,172,95,32,179,-0.1912,1.0485,0.2309,0.4691,-0.2924,-0.0219,0.4691,0.2148,0.0164,0,0,0,1,3,3,0,3
10,223,./side_view_dataset_videos/1.mov,Right,182.95,367,30.03,174,174,81,47,166,-1.3453,1.1648,-0.4294,0.6323,-1.2527,-0.0752,0.6323,0.1549,-0.0812,3,0,0,1,3,3,0,3
